T2.C1,T2.C2,T2.C3,T2.C4,T2.C5,T2.C6,T2.C7
0.0 (87.5%),0.1 (79.2%),2.0,1.1,0.5,0.6,\textbf{0.2}
0.2 (61.7%),0.2 (56.7%),2.8,1.0,0.5,\textbf{0.3},\textbf{0.3}
0.1 (56.7%),0.2 (51.7%),1.4,1.1,0.5,0.4,\textbf{0.2}
0.2 (29.2%),0.4 (0.0%),1.5,0.9,0.6,0.6,\textbf{0.4}
0.1 (33.3%),0.3 (3.3%),2.2,0.6,0.5,0.4,\textbf{0.3}
0.1 (50.0%),0.3 (2.5%),1.9,0.6,0.5,0.4,\textbf{0.2}
0.2 (20.8%),0.4 (0.0%),2.0,0.7,0.6,0.6,\textbf{0.2}
0.15 +- 0.07,0.28 +- 0.14,1.96 +- 0.47,0.84 +- 0.22,0.52 +- 0.05,0.48 +- 0.12,\textbf{0.27 +- 0.06}
