T1.C1,T1.C2,T1.C3,T1.C4,T1.C5,T1.C6,T1.C7
0.0 (100.0%),0.0 (98.3%),1.9,0.9,0.4,0.4,\textbf{0.1}
0.0 (96.7%),0.0 (100.0%),2.6,0.8,0.3,0.2,\textbf{0.1}
0.0 (100.0%),0.0 (100.0%),1.2,0.7,0.2,\textbf{0.1},\textbf{0.1}
0.0 (99.2%),0.5 (0.0%),1.7,0.7,0.7,0.6,\textbf{0.2}
0.0 (100.0%),0.4 (1.7%),2.0,0.7,0.6,0.5,\textbf{0.3}
0.0 (100.0%),0.5 (1.7%),2.4,0.7,0.7,0.4,\textbf{0.2}
0.0 (98.3%),1.0 (0.0%),1.8,1.0,0.9,0.7,\textbf{0.2}
0.0 +- 0.0,0.35 +- 0.38,1.95 +- 0.47,0.78 +- 0.15,0.56 +- 0.26,0.42 +- 0.23,\textbf{0.19 +- 0.1}
